unix,open,high,low,close,volume
1587772800,7518.81,7723.77,7432.8,7547.56,28686975.34
1587686400,7494.2,7612.91,7391.57,7505.53,55218985.1
1587600000,7138.29,7756.69,7031.07,7484.58,110618710.4
1587513600,6850.6,7171.26,6819.59,7137.79,44778256.86
1587427200,6833,6950.98,6774.48,6854.98,38188793.27
1587340800,7124.27,7220,6757.75,6841,77748028.74
1587254400,7265.94,7276.21,7057.46,7126.4,33224645.73
1587168000,7020.13,7306.15,7020.13,7262.26,37055700.67
1587081600,7121.35,7158.22,6995.39,7024.19,59983901.82
1586995200,6619,7224.18,6472.67,7111.67,111843074.8
1586908800,6868.88,6940,6598.55,6619,53678318.38
1586822400,6864.66,6991,6766.96,6879.75,50054904.71
1586736000,6908.21,6914.01,6542.91,6864.22,74391495.86
1586649600,6882.75,7201.76,6790.74,6908.24,50185042.67
1586563200,6866.03,6955.59,6771.24,6883.18,22898101.19
1586476800,7299.12,7306.1,6750.15,6877.03,73775862.21
1586390400,7370.85,7376.59,7107.38,7293.93,60721396.67
1586304000,7204.78,7428.95,7152,7367.36,64244930.03
1586217600,7335.85,7469,7077,7202.73,84048759.12
1586131200,6780.57,7376.59,6773.75,7352.43,100603578.3
1586044800,6887.22,6914.01,6678.51,6775.2,26978690.06
1585958400,6737.36,7014,6655.54,6879.61,41405040.33
1585872000,6789.63,7047.96,6610,6742.57,71269682.33
1585785600,6669.95,7236.39,6575.13,6801.99,117081434.1
1585699200,6428.74,6710.21,6137.71,6652.07,75295764.42
1585612800,6408.95,6527.24,6337.42,6421.14,40724785.48
1585526400,5878.47,6630,5856,6407.77,95952794.07
1585440000,6275.11,6278.24,5869,5870.9,54593141.28
1585353600,6376.03,6376.03,6030.51,6253.08,72620106.95
1585267200,6765.15,6872.67,6210,6376.03,68964961.25
1585180800,6695.47,6798.89,6528.07,6760.72,49986784.37
1585094400,6768.64,6989.04,6457.17,6692.22,111597688.1
1585008000,6494.7,6893,6400.01,6768.64,133471448.6
1584921600,5816.57,6629.79,5686.34,6493.51,123726070.5
1584835200,6199.17,6419,5705,5813.15,62859826.51
1584748800,6207.66,6461.91,5866.44,6187.78,72995548.73
1584662400,6192.94,7139,5670,6210.14,186816552
1584576000,5413,6433.98,5266.38,6181.18,153192726.3
1584489600,5340.95,5452.43,5006.87,5406.92,121975958
1584403200,5051.41,5569.9,4936,5324.99,93282335.71
1584316800,5353.04,5353.04,4435.89,5033.42,175693858.6
1584230400,5167.38,5965.77,5092.34,5343.64,88647267.7
1584144000,5623.16,5663.01,5051,5169.37,79457704.69
1584057600,4841.67,5990.35,3850,5622.74,305987494.1
1583971200,7956.29,7969.9,4776.59,4841.67,283302521
1583884800,7893.63,7988.78,7591.99,7934.57,57839932.35
1583798400,7937.2,8158.42,7733.99,7885.92,65255623.33
1583712000,8035.79,8191.13,7636,7936.25,96642845.12
1583625600,8901.12,8901.12,7995.48,8033.7,72856744.82
1583539200,9154.1,9219.13,8859.49,8893.93,24952735.04
1583452800,9059,9187.85,8990.01,9153.79,37863951.1
1583366400,8757.79,9169,8757.79,9066.65,58467975.96
1583280000,8755.45,8850,8663.76,8753.28,29351783.17
1583193600,8917.34,8921.8,8660.04,8755.45,40537490.85
1583107200,8516,8980.34,8486.72,8917.34,55170342.08
1583020800,8525,8756.11,8410,8528.95,35451192.54
1582934400,8710,8805.06,8525,8527.74,19938434.78
1582848000,8816.5,8900.94,8421.49,8703.84,56983877.09
1582761600,8778.37,8974.75,8520,8816.5,81763371.65
1582675200,9305.4,9369.99,8627.78,8779.36,101526256.9
1582588800,9664.87,9682.73,9234.21,9305.4,58437939.5
1582502400,9969.79,10027.66,9480,9652.58,56728287.06
1582416000,9664.08,10024.08,9664.08,9965.21,33176419.65
1582329600,9696.13,9722.39,9568.51,9668.13,20269848.82
1582243200,9610.4,9773.2,9562.6,9696.13,41416735.61
1582156800,9589.1,9706.27,9396.91,9612.76,63525838.71
1582070400,10190.3,10300,9312,9595.72,95350948.95
1581984000,9725.57,10288,9602.6,10185.17,68794243.13
1581897600,9925.96,9973.45,9467.57,9697.15,57341235.14
1581811200,9909.71,10051.24,9598.49,9912.89,40974700.34
1581724800,10364.04,10408.04,9739,9899.78,57045565.11
1581638400,10229.19,10398,10093.26,10364.04,64157319.93
1581552000,10348.78,10500.5,10068,10228.67,95611994.52
1581465600,10270.98,10495,10247.35,10348.78,67819792.41
1581379200,9851.99,10383.9,9706.94,10268.98,83462124.5
1581292800,10173.51,10199.85,9731.2,9850.01,74472654.33
1581206400,9907.7,10178.54,9885.04,10173.97,49143712.65
1581120000,9803.71,9948.97,9658.58,9902,32367019.39
1581033600,9754.63,9878,9706.94,9803.42,39345937.62
1580947200,9617.84,9859.57,9521,9754.63,73691241.86
1580860800,9168.49,9775,9142.52,9618.42,77562630.5
1580774400,9281,9348.6,9075,9159.37,44580718.85
1580688000,9309.69,9615,9211.07,9288.09,44193972.22
1580601600,9379.6,9474.28,9135,9329.39,28135495.89
1580515200,9339.26,9464.16,9280.33,9377.17,15650519.82
1580428800,9510.84,9529.35,9195.93,9327.85,46729005.44
1580342400,9280.83,9570,9166.07,9500,75479008.4
1580256000,9386.57,9443.96,9215.5,9289.18,60211683.97
1580169600,8894.57,9413.24,8876,9400,89916257.94
1580083200,8600,9004.35,8546.55,8894.54,85563471.24
1579996800,8320,8600,8276.22,8590.48,54468675.3
1579910400,8435.83,8437.47,8252.72,8329.5,23429133.91
1579824000,8382.08,8530.7,8212.9,8422.13,54157919.38
1579737600,8661.63,8665.95,8280,8378.44,72146837.22
1579651200,8728.47,8792.98,8567.68,8655.93,27212617.67
1579564800,8629.66,8778.66,8480,8717.89,29594526.68
1579478400,8698.97,8740.54,8507.93,8625.17,38124961.36
1579392000,8901.02,9188.1,8461.38,8696.6,76403543.84
1579305600,8898.03,9000.1,8798.9,8908.53,32765655.89
1579219200,8715.39,9015.22,8661.52,8892.63,83263107.96
1579132800,8810.62,8852.35,8573.91,8710.15,58473488.32
1579046400,8813.2,8903.2,8555,8809.17,75819499.04
1578960000,8105.01,8895,8105.01,8813.04,149904804
1578873600,8180.75,8196.81,8039,8105.01,32512753.99
1578787200,8008.1,8190,7960,8180.76,16820352.27
1578700800,8200,8286,8000,8016.22,30368065.18
1578614400,7812.7,8200,7667,8200,73799903.71
1578528000,8048.94,8048.94,7737.97,7806.78,46506895.19
